Malware type,Precision,Recall,F1
Adware,0.9346748704617955,0.7490175897855237,0.8297203179753285
Backdoor,0.6872354084263236,0.6866047660722611,0.686332565817855
Downloader,0.7617907025224098,0.7582171440308193,0.759387221916372
Dropper,0.6014758091333254,0.6680105033199085,0.6326645630332008
Spyware,0.560667216977581,0.528154789385694,0.5423755990465752
Trojan,0.5105193953709535,0.5392693126914694,0.522692078759639
Virus,0.8830599817553694,0.8369449424771844,0.8591835812821762
Worms,0.6273309943030914,0.648897357230388,0.6370885158173527
