Fold,Model,Accuracy,Macro Precision,Macro Recall,Macro F1
1,Random Forest,0.656800563777308,0.6667414845729852,0.6508661192166124,0.6555172745641158
1,XGBoost,0.6779422128259338,0.6912981005396537,0.6666887273226298,0.6752822770946059
1,SVM,0.4862579281183932,0.5426629824436691,0.479589577166837,0.4874020679012131
1,Soft Voting Ensemble,0.6737138830162086,0.6845648062224675,0.6625609684760723,0.6694195472962526
1,Most-common-class baseline,0.116983791402396,0.0146229739252995,0.125,0.0261829652996845
2,Random Forest,0.6772633033863165,0.7041042059629045,0.6788461471735157,0.6869137310953777
2,XGBoost,0.6945404284727021,0.7195744021615684,0.6961488861260138,0.7049419271069323
2,SVM,0.4906703524533518,0.5579624415823683,0.4877574624425984,0.5061117098646565
2,Soft Voting Ensemble,0.6938493434692468,0.7211936115460953,0.6929713499526954,0.7033941077831964
2,Most-common-class baseline,0.1292328956461644,0.0161541119557705,0.125,0.028610771113831
3,Random Forest,0.6208869814020028,0.6440056276040365,0.6373055841842865,0.637149850807949
3,XGBoost,0.6695278969957081,0.6938679194174018,0.6837365169672054,0.687252242940184
3,SVM,0.5007153075822603,0.5326738918662746,0.4980556052701999,0.5043959642215154
3,Soft Voting Ensemble,0.6595135908440629,0.6800955124961222,0.6748015073135096,0.6748201901447679
3,Most-common-class baseline,0.1251788268955651,0.0156473533619456,0.125,0.0278130959949141
4,Random Forest,0.6333100069979006,0.6552885862230866,0.643498917343678,0.6466270034302171
4,XGBoost,0.6585024492652204,0.6791033354675546,0.6660949301432243,0.670370499988902
4,SVM,0.4604618614415675,0.502077811127394,0.4530729088105774,0.4604728121720183
4,Soft Voting Ensemble,0.6515045486354094,0.6679759040216309,0.6601841469901402,0.6620485828285883
4,Most-common-class baseline,0.125962211336599,0.0157452764170748,0.125,0.0279676817899316
5,Random Forest,0.615983026874116,0.6415754528636923,0.6227655716983233,0.6294274145495242
5,XGBoost,0.6697312588401697,0.6953777292581025,0.6717786925617071,0.6805558301496879
5,SVM,0.4533239038189533,0.5146474563259971,0.4588076876413749,0.4748052563277716
5,Soft Voting Ensemble,0.6605374823196606,0.6847134262052146,0.6630741338279993,0.6708920161306601
5,Most-common-class baseline,0.1386138613861386,0.0173267326732673,0.125,0.0304347826086956
